mysql> select distinct
    ->     word_num as w,
    ->     (select count(*) from
    ->             annot
    ->         inner join
    ->             annot_target
    ->         on
    ->             annot.id = annot_target.annot_id
    ->     where
    ->         target.id = annot_target.target_id) as nn
    -> from
    ->     target
    -> order by
    ->     word_num
    -> ;
+--------+------+
| w      | nn   |
|  80265 |    1 |
|  80266 |    1 |
|  80357 |    1 |
|  80358 |    1 |
|  80841 |    1 |
|  80842 |    1 |
|  80845 |    1 |
|  81098 |    1 |
|  81099 |    1 |
|  81100 |    1 |
|  81661 |    1 |
|  81662 |    1 |
|  81663 |    1 |
|  81664 |    1 |
|  81665 |    1 |
|  81666 |    1 |
|  81667 |    1 |
|  81689 |    1 |
|  81690 |    1 |
|  82833 |    1 |
|  82834 |    1 |
|  82835 |    1 |
|  82866 |    1 |
|  82870 |    1 |
|  82871 |    1 |
|  82958 |    1 |
|  82960 |    1 |
|  82961 |    1 |
|  83290 |    1 |
|  83291 |    1 |
|  83292 |    1 |
|  83927 |    1 |
|  83928 |    1 |
|  83934 |    1 |
|  83935 |    1 |
|  84054 |    1 |
|  84055 |    1 |
|  84058 |    1 |
|  84904 |    1 |
|  84905 |    1 |
|  84906 |    1 |
|  85485 |    1 |
|  85491 |    1 |
|  86165 |    1 |
|  86166 |    1 |
|  86167 |    1 |
|  86289 |    1 |
|  86290 |    1 |
|  86293 |    1 |
|  86402 |    1 |
|  86403 |    1 |
|  86404 |    1 |
|  86988 |    1 |
|  86989 |    1 |
|  86990 |    1 |
|  87051 |    1 |
|  87055 |    1 |
|  87056 |    1 |
|  88711 |    1 |
|  88712 |    1 |
|  89556 |    1 |
|  89569 |    1 |
|  89570 |    1 |
|  89571 |    1 |
|  89574 |    1 |
|  89684 |    1 |
|  89685 |    1 |
|  89686 |    1 |
|  90045 |    1 |
|  90046 |    1 |
|  90047 |    1 |
|  91690 |    1 |
|  91691 |    1 |
|  91734 |    1 |
|  91735 |    1 |
|  91784 |    1 |
|  91785 |    1 |
|  92118 |    1 |
|  92119 |    1 |
|  94669 |    1 |
|  94670 |    1 |
|  94673 |    1 |
|  94674 |    1 |
|  94794 |    1 |
|  94795 |    1 |
|  94801 |    1 |
|  94802 |    1 |
|  94916 |    1 |
|  94917 |    1 |
|  95323 |    1 |
|  95324 |    1 |
|  95327 |    1 |
|  96253 |    1 |
|  96256 |    1 |
|  96360 |    1 |
